Name,Datatype,Length,Precision,Not-null,Status
MINORITY_OWNED_TYPE,VARCHAR2,30,,,Active
OOB_IND,VARCHAR2,30,,,Active
PARENT_SUB_IND,VARCHAR2,30,,,Active
PRINCIPAL_NAME,VARCHAR2,240,,,Active
PRINCIPAL_TITLE,VARCHAR2,240,,,Active
PUBLIC_PRIVATE_OWNERSHIP_FLAG,VARCHAR2,1,,,Active
REGISTRATION_TYPE,VARCHAR2,30,,,Active
SMALL_BUS_IND,VARCHAR2,1,,,Active
TOTAL_EMP_EST_IND,VARCHAR2,30,,,Active
TOTAL_EMP_MIN_IND,VARCHAR2,30,,,Active
TOTAL_EMPLOYEES_IND,VARCHAR2,30,,,Active
TOTAL_EMPLOYEES_TEXT,VARCHAR2,60,,,Active
TOTAL_PAYMENTS,NUMBER,,,,Active
WOMAN_OWNED_IND,VARCHAR2,1,,,Active
YEAR_ESTABLISHED,NUMBER,,4,,Active
PERSON_FIRST_NAME,VARCHAR2,150,,,Active
PERSON_LAST_NAME,VARCHAR2,150,,,Active
PERSON_LAST_NAME_PREFIX,VARCHAR2,30,,,Active
PERSON_SECOND_LAST_NAME,VARCHAR2,150,,,Active
PERSON_MIDDLE_NAME,VARCHAR2,60,,,Active
PERSON_INITIALS,VARCHAR2,6,,,Active
PERSON_NAME_SUFFIX,VARCHAR2,30,,,Active
PERSON_PRE_NAME_ADJUNCT,VARCHAR2,30,,,Active
PERSON_PREVIOUS_LAST_NAME,VARCHAR2,150,,,Active
PERSON_TITLE,VARCHAR2,60,,,Active
PERSON_ACADEMIC_TITLE,VARCHAR2,30,,,Active
DATE_OF_BIRTH,DATE,,,,Active
PLACE_OF_BIRTH,VARCHAR2,60,,,Active
DATE_OF_DEATH,DATE,,,,Active
DECEASED_FLAG,VARCHAR2,1,,,Active
DECLARED_ETHNICITY,VARCHAR2,60,,,Active
GENDER,VARCHAR2,30,,,Active
HEAD_OF_HOUSEHOLD_FLAG,VARCHAR2,1,,,Active
HOUSEHOLD_INCOME,NUMBER,,,,Active
HOUSEHOLD_SIZE,NUMBER,,,,Active
MARITAL_STATUS,VARCHAR2,30,,,Active
MARITAL_STATUS_EFFECTIVE_DATE,DATE,,,,Active
PERSONAL_INCOME,NUMBER,,,,Active
COMMENTS,VARCHAR2,2000,,,Active
GROWTH_STRATEGY_DESC,VARCHAR2,2000,,,Active
HOME_COUNTRY,VARCHAR2,2,,,Active
COUNTRY_REGISTERED_IN,VARCHAR2,2,,,Active
MISSION_STATEMENT,VARCHAR2,2000,,,Active
PREF_FUNCTIONAL_CURRENCY,VARCHAR2,15,,,Active
SEBL_USER_KEY_LOC,VARCHAR2,50,,,Active
STOCK_SYMBOL,VARCHAR2,20,,,Active
INTERFACE_STATUS,VARCHAR2,30,,,Active
ERROR_ID,NUMBER,,18,,Active
DQM_ACTION_FLAG,VARCHAR2,1,,,Active
ATTRIBUTE_CATEGORY,VARCHAR2,30,,,Active
ATTRIBUTE1,VARCHAR2,150,,,Active
ATTRIBUTE2,VARCHAR2,150,,,Active
ATTRIBUTE3,VARCHAR2,150,,,Active
ATTRIBUTE4,VARCHAR2,150,,,Active
ATTRIBUTE5,VARCHAR2,150,,,Active
ATTRIBUTE6,VARCHAR2,150,,,Active
ATTRIBUTE7,VARCHAR2,150,,,Active
ATTRIBUTE8,VARCHAR2,150,,,Active
